venue_name,city,state,website,phone,bays,fnb,social_focus,software_noted,source_url,priority,notes
Golf Miami 305,Miami Gardens,FL,https://www.golfmiami305.com/,,,,true,true,,https://golfsimmap.com,HIGH,Social/entertainment focus
Birdie Golf Studios,Miami,FL,https://birdiegolfstudios.com/,,,,,,,MEDIUM,Wynwood location
The Tips Golf,Miami,FL,,,,true,true,,https://golfsimmap.com,HIGH,Luxury indoor golf - Brickell debut 2025
Back Nine Golf - Miramar Beach,Miramar Beach,FL,https://thebackninegolf.com/miramarbeach/,,,,,,,MEDIUM,
4 Majors Indoor Golf,Coral Springs,FL,https://www.4majorsindoorgolf.com/,,,,,,,MEDIUM,Lessons focus
X-GOLF West Palm Beach,West Palm Beach,FL,https://www.xgolfwpb.com/,,,3,true,true,,https://golfsimmap.com,HIGH,X-Golf franchise; events and entertainment
Five Iron Golf Miami,Miami,FL,https://fiveirongolf.com/,,,6,true,true,,https://golfsimmap.com,HIGH,Franchise chain; Jim McLean partnership; largest US venue
PLAY Sporting Lounge,,FL,https://playsportinglounge.com/,,,3,true,true,,https://golfsimmap.com,HIGH,Virtual sport suites; live sports; social focus
Sim-U-Golf,,FL,https://sim-u-golf.com/,,,,,,,MEDIUM,
The Bays Golf Club,,FL,https://thebaysgc.com/,,,,,,,MEDIUM,
Birdies Golf Lounge,Dallas,TX,https://birdiesdallas.com/,,,3,true,true,,https://golfsimmap.com,HIGH,Golf + cocktails; strong bar/social focus
1611 Golf Club,Fort Worth,TX,https://www.1611golf.com/,,,3,true,true,,https://golfsimmap.com,HIGH,Indoor golf simulators + bar + craft kitchen
Crush IT! Sports,Dallas,TX,https://www.crushitsports.com/,,,,,true,,https://golfsimmap.com,HIGH,Virtual sports and social lounge
The Perfect Round,Houston,TX,https://theperfectroundgolf.com/,,,,,,,MEDIUM,Reservations-focused indoor golf
iGolf By Space NYC,New York,NY,https://igolf32.com/,,,,,true,,https://golfsimmap.com,HIGH,Events venue and indoor simulators
Five Iron Golf NYC - Grand Central,New York,NY,https://fiveirongolf.com/locations/nyc-grand-central,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; events
Five Iron Golf NYC - FiDi,New York,NY,https://fiveirongolf.com/locations/nyc-fidi,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; events
Five Iron Golf NYC - Flatiron,New York,NY,https://fiveirongolf.com/en-us/locations/nyc-flatiron,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
Five Iron Golf NYC - Rockefeller Center,New York,NY,https://fiveirongolf.com/en-us/locations/nyc-rockefeller-center,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; birthday parties; corporate events
Five Iron Golf NYC - Herald Square,New York,NY,https://fiveirongolf.com/locations/nyc-herald-square,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
Five Iron Golf NYC - Long Island City,New York,NY,https://fiveirongolf.com/en-us/locations/nyc-long-island-city,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
Five Iron Golf Chicago - Bucktown,Chicago,IL,https://fiveirongolf.com/locations/chicago-bucktown,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; indoor driving range + bar
Five Iron Golf Chicago - River North,Chicago,IL,https://fiveirongolf.com/locations/chicago-river-north,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; parties
Five Iron Golf Chicago - The Loop,Chicago,IL,https://fiveirongolf.com/locations/chicago-the-loop,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
Five Iron Golf Chicago - Lincoln Park,Chicago,IL,https://fiveirongolf.com/locations/chicago-lincoln-park,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
X-Golf Wrigleyville,Chicago,IL,https://www.xgolfwrigleyville.com/,,,,,true,,https://golfsimmap.com,HIGH,X-Golf franchise; entertainment focus
Golf Haus,Centennial,CO,https://www.golfhaus.co/,,,,,,,MEDIUM,Near Denver
Hangar Club,Denver,CO,https://hangarclub.co/,,,,,true,,https://golfsimmap.com,HIGH,Social/lounge focus
XGolf DTC,Denver,CO,https://xgolfdtc.com/,,,,,,,MEDIUM,X-Golf franchise; Denver Tech Center
Five Iron Golf Seattle - Kirkland,Kirkland,WA,https://fiveirongolf.com/locations/seattle-kirkland,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; lessons
Five Iron Golf Seattle - Capitol Hill,Seattle,WA,https://fiveirongolf.com/locations/seattle-capitol-hill,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar
Five Iron Golf Nashville,Nashville,TN,https://fiveirongolf.com/en-us/locations/nashville-midtown,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; events
Olympic Golf Zone,Los Angeles,CA,https://www.olympicgolfzone.com/,,,,,true,,https://golfsimmap.com,HIGH,Sports bar + golf; social focus
Sim Club LA,Los Angeles,CA,https://simclub.com/,,,,,,,MEDIUM,SoCal indoor golf
Swing Factory Golf LA,Los Angeles,CA,https://swingfactorygolf.com/,,,,,,,MEDIUM,Indoor golf facility
Atlanta Golf & Social,Atlanta,GA,https://www.atlantagolfandsocial.com/,,,3,true,true,,https://golfsimmap.com,HIGH,Golf + lessons + leagues + private events; strong social focus
Fairway Social,Atlanta,GA,https://www.fairway-social.com/,,,3,true,true,,https://golfsimmap.com,HIGH,Competitive golf & sports simulator; social brand
Trevor's Liquor (Golf Bays),Scottsdale,AZ,https://www.trevors.com/indoor-golf-bays,,,,,true,,https://golfsimmap.com,HIGH,Liquor store with indoor golf bays — unique F&B patchwork
Mulligans Indoor Golf,Minneapolis,MN,https://mulligansindoor.com/,,,,,,,MEDIUM,
Par365 Golf,Roseville,MN,https://par365golf.com/,,,,,,,MEDIUM,Indoor simulators + lounge; near Minneapolis
Five Iron Golf Minneapolis,Minneapolis,MN,https://fiveirongolf.com/en-us/locations/minneapolis-north-loop,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; sports bar; lessons
Atomic Golf,Las Vegas,NV,https://atomicgolf.com/,,,6,true,true,,https://golfsimmap.com,HIGH,Golf + food + fun in Las Vegas; strong entertainment
Five Iron Golf Las Vegas,Las Vegas,NV,https://fiveirongolf.com/en-us/locations/las-vegas-area15,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; Area 15 complex
Envision Golf,Portland,OR,https://envisiongolf.com/,,,,,,,MEDIUM,Portland #1 golf simulator
Swing Social,San Diego,CA,https://rmdevents.com/alleventvenues/swing-social,,,,,true,,https://golfsimmap.com,HIGH,Unique event venue + golf simulators
The Golf Bar San Diego,San Diego,CA,,,,,true,true,,https://golfsimmap.com,HIGH,Golf bar; food/drinks focus
Virtual Fairways Ohio,Columbus,OH,https://virtualfairwaysohio.com/,,,,,,,MEDIUM,
The Fairway Columbus,Columbus,OH,https://www.thefairwaycolumbus.com/,,,,,,,MEDIUM,Indoor golf simulator
The Golf House,Dublin,OH,https://www.theohiogolfhouse.com/,,,,,,,MEDIUM,Near Columbus
Caddy's Delight,Columbus,OH,https://www.caddysdelight.com/,,,,,,,MEDIUM,Indoor golf
X-GOLF Columbus,Columbus,OH,https://playxgolf.com/locations/columbus/,,,,,,,MEDIUM,X-Golf franchise
Five Iron Golf Pittsburgh,Pittsburgh,PA,https://fiveirongolf.com/locations/pittsburgh-market-square,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; virtual golf bar; parties
Fairways & Dreams,Philadelphia,PA,https://fdindoorgolf.com/,,,,,,,MEDIUM,
Five Iron Golf Philadelphia - Fishtown,Philadelphia,PA,https://fiveirongolf.com/locations/philadelphia-fishtown,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; bar; driving range
Five Iron Golf Philadelphia - Rittenhouse,Philadelphia,PA,https://fiveirongolf.com/locations/philadelphia-rittenhouse,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; indoor golf bar
X-GOLF St. Louis,St. Louis,MO,https://playxgolf.com/locations/st-louis/,,,,,,,MEDIUM,X-Golf franchise
Back Nine Golf - St. Louis,Crestwood,MO,https://thebackninegolf.com/st-louis-crestwood-mo/,,,,,,,MEDIUM,
Five Iron Golf St. Louis,Clayton,MO,https://fiveirongolf.com/locations/st-louis-clayton,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; virtual golf bar; driving range
Five Iron Golf Indianapolis,Indianapolis,IN,https://fiveirongolf.com/en-us/locations/indianapolis-downtown,,,4,true,true,,https://golfsimmap.com,HIGH,Franchise; indoor golf bar
