brand,locations_count,countries,website,current_software,contact,features,priority,notes
"Padelta","?","Switzerland","https://padelta.ch","Playtomic","","","HIGH","DEMO BOOKED. 10+ Swiss locations."
"PadelShot","?","France","https://padelshot.fr","Unknown","","","HIGH","Raised €5M. 11+ clubs. No software mentioned publicly."
"Game4Padel","?","UK, Spain, Australia, New Zealand","https://game4padel.com","Unknown","","","HIGH","UK's largest. 23+ venues. Doubling 2025."
"The Padellers","?","Netherlands, Germany","https://www.thepadellers.nl","Playtomic","","","HIGH","24 NL locations → 30. Also Germany."
"Peakz Padel","?","Netherlands","https://peakzpadel.nl","Unknown","","","HIGH","8 centers. Formerly Play Padel Club."
"Padel Zenter","?","Sweden, Italy","https://www.padelzenter.se","Unknown","","","HIGH","Founded by Zlatan. Franchising 2026."
"Padeldome","?","Austria","","etennis","","","HIGH","4 Vienna locations. etennis = displaceable."
"PADELZONE","?","Austria","https://padelzone.at","Eversports","","","HIGH","5+ Vienna + Wiener Neustadt. Eversports = displaceable."
"Padel Pro UAE","?","UAE","https://padelpro.ae","Unknown","","","HIGH","3 Dubai locations. Academy + leagues."
"World Padel Academy (WPA)","?","UAE","https://wpa.ae","Unknown","","","HIGH","4 locations (Dubai, Abu Dhabi, Sharjah, Khor Fakkan)."
"Padel Kingdom","?","UAE, Bahrain","https://thepadelkingdom.com","Unknown","","","HIGH","3 locations 2 countries."
"Top Padel Sports Club","?","UAE","https://toppadelsc.com","Unknown","","","HIGH","3 locations Dubai + Sharjah."
"Indoor Padel Australia","?","Australia","https://www.indoorpadel.com.au","Unknown","","","HIGH","2 Sydney locations. Largest in AU."
"Racquet Club","?","Australia","https://racquetclub.com.au","Playtomic","","","HIGH","Sydney + Canberra. Playtomic confirmed."
"Game4Padel Australia","?","Australia","https://game4padel.com.au","Unknown","","","HIGH","2 Melbourne locations."
"Padel Haus","?","USA","https://padel.haus","Unknown","","","HIGH","Playbypoint social proof. $18M funded. 7 locations."
"4PADEL","?","France, Germany","https://4padel.com","Unknown","","","MEDIUM","70+ locations. Likely proprietary tech."
"PDLU (PDL + Padel United)","?","Sweden, Denmark, Finland, Norway, Switzerland","https://pdlu.com","Unknown","","","MEDIUM","World largest. 118 halls. Likely custom tech."
"Padelbase","?","Austria","https://www.padelbase.at","Unknown","","","MEDIUM","Austria-wide chain."
