#,Club,City,State,Region,Sport,Status,Owner / Contact,Email,Phone,Website
1,Pickleball Kingdom – Plano,Plano,TX,Texas,Pickleball,Grand Opening Mar 28 2026,"Rajesh Byldugula & Suresh Reddy",info@pkplano.com,(469) 595-9773,pickleballkingdom.com/clubs/plano-tx
2,Pickleball Kingdom – Bryan/College Station,Bryan,TX,Texas,Pickleball,Fall 2026,"Sheryl Miller (Owner), Donnie French (GM)",info@pickleballkingdomcollegestation.com,,pickleballkingdom.com
3,PickleRage – North Austin,Austin,TX,Texas,Pickleball,Q2 2026,"Dwarakesh Subramanian, Sai Talasia, Sivanaga Kukkapalli",Via picklerage.com/contact,,picklerage.com
4,Elite Pickleball Club – The Woodlands,Spring,TX,Texas,Pickleball,Summer 2026,Shellton Jean Baptiste (Owner),Via texaselitepickleball.com,(832) 295-8631,texaselitepickleball.com
5,Texas Pickle Hall – Southtown,San Antonio,TX,Texas,Pickleball,Early 2026,"Zander Komet (CEO), Jesse Diaz (Co-owner)",Via texaspicklehall.com,,texaspicklehall.com
6,Ace Pickleball Club – Spring,Spring,TX,Texas,Pickleball,2026,TBD,springtx@acepickleballclub.com (inferred),,acepickleballclub.com
7,Ace Pickleball Club – Sugar Land,Sugar Land,TX,Texas,Pickleball,Spring 2026,TBD,sugarlandtx@acepickleballclub.com (inferred),,acepickleballclub.com
8,Chicken N Pickle – Allen,Allen,TX,Texas,Pickleball,Grand Opening May 13 2026,,Via chickennpickle.com,,chickennpickle.com
9,Apex Pickleball Clubs – Cedar Park,Cedar Park,TX,Texas,Pickleball,NOW OPEN,Bill Parodi Jr. (Founder/CEO),Via apexpbclubs.com/contact-us,,apexpbclubs.com
10,City Pickle USA – Fort Worth,Fort Worth,TX,Texas,Pickleball,NOW OPEN Feb 2 2026,Steve McKeever (Owner),Via citypickleusa.com,,citypickleusa.com
11,Era Pickleball – The Woodlands,The Woodlands,TX,Texas,Pickleball,OPEN,Christian Tejada (Dir. of Operations),info@erapickleball.com,(346) 814-2230,erapickleball.com
12,Outlaw Pickle – San Antonio,San Antonio,TX,Texas,Pickleball,NOW OPEN Jan 15 2026,"Ross Krachey (CEO), Romie Chaudhari, Mitch Gelina",Via outlawpickle.com,,outlawpickle.com
13,The Smash Yard – McKinney,McKinney,TX,Texas,Pickleball,Summer/Fall 2026,"Santosh Sahoo & Anish Katyal (Co-founders)",admin@thesmashyard.com,,thesmashyard.com
14,Rush – South Austin,Austin,TX,Texas,Pickleball + Padel,2026,Nick Sutcliffe (CEO/Founder),Via rush.club,,rush.club
